缂栧彿,鍙戠敓鏃堕棿,鍖哄煙,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,鏈€澶у皬鏃堕洦寮?mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
503,2023/5/24,长安区子午峪,1094,40.2,1500,55,24,1,16.6,3,0,1,1,0,0
504,2017/5/9,蓝田县汤峪,2242,36.2,17,60,37,0.6,10.1,0,1,0,0,0,0
505,2022/6/2,蓝田县汤峪,1206,31.3,35,95,8,0.6,25,2,1,1,1,0,0
506,2017/5/24,长安区沣峪,1870,35.4,91,56,19,1,22.2,3,0,0,0,0,0
507,2017/9/10,未央区谭家,608,11.6,445,30,21,1,16.2,1,0,0,0,0,0
508,2021/9/7,周至县王家河,1275,31.4,15,68,15,1.1,20,3,0,0,0,0,0
510,2021/9/25,周至县板房子,918,31,102,95,39,1,17.5,5,0,0,0,0,0
511,2019/12/19,未央区谭家,404,22.9,186,30,5,1,9.4,1,1,1,1,0,0
516,2012/9/25,周至县板房子,2099,33,134,95,10,1.1,13.1,3,1,0,0,0,0
518,2016/9/22,周至县厚畛子,2263,39.1,272,40,38,0.6,19.4,5,1,1,1,0,0
519,2022/8/13,灞桥区白鹿塬,591,22.5,566,30,9,1,9.8,1,0,0,0,0,0
523,2014/7/29,雁塔区杜城,901,16.9,63,30,40,1.2,12,1,0,1,1,0,0
524,2021/7/11,长安区沣峪,1025,40.2,91,40,30,1,14,3,1,1,0,0,0
525,2020/9/10,未央区六村堡,800,12.2,447,40,5,0.6,18.2,1,0,1,0,0,1
528,2013/10/31,灞桥区狄寨,566,21.2,375,57,25,0.9,17.4,1,0,0,0,0,0
529,2012/8/19,阎良区新兴,499,15,94,60,9,1.2,24.4,4,0,1,0,0,1
530,2010/7/4,周至县马召,2451,32.9,75,88,11,0.7,33.7,3,0,0,0,0,0
536,2021/7/8,鄠邑区祖庵,2296,36.8,326,40,3,0.9,36.8,0,0,1,0,0,0
537,2023/7/24,灞桥区白鹿塬,926,15.8,578,30,23,0.9,12.7,1,0,0,0,0,0
539,2018/5/13,长安区子午峪,1120,37.3,67,61,36,1.2,16.1,3,0,0,0,0,0
540,2015/7/3,鄠邑区祖庵,2139,33.4,408,40,34,1.2,18.8,0,1,1,0,0,0
542,2022/7/20,灞桥区席王,721,24.1,28,62,12,0.8,32,1,0,0,0,0,0
544,2017/7/14,未央区谭家,323,17.7,533,51,7,0.8,14.8,1,0,0,0,0,1
545,2022/2/5,鄠邑区涝峪,2389,23.2,235,40,40,0.7,38.3,0,0,0,0,0,0
548,2015/10/5,长安区小峪,991,36.8,28,40,40,1,48.3,3,0,1,1,0,0
549,2017/10/24,长安区小峪,1443,33.2,370,40,17,1.1,11.1,0,1,0,1,0,0
551,2018/8/28,长安区蒿沟,1024,33.5,52,40,21,1.1,24.4,2,0,1,0,0,0
554,2010/7/28,阎良区关山,795,12,62,52,33,0.6,14.7,2,0,0,0,0,0
555,2017/11/21,鄠邑区甘河,1508,43.4,213,77,38,0.6,13.6,0,1,1,1,0,0
556,2021/9/10,雁塔区电子城,885,17.4,72,38,11,1.2,12.3,1,0,1,0,0,0
557,2011/10/19,周至县板房子,2202,35.2,333,68,6,1,19,4,1,1,0,0,0
559,2023/8/25,雁塔区曲江,427,21.2,139,52,12,0.7,34.7,0,0,0,0,0,0
561,2017/6/26,蓝田县汤峪,904,44.3,1,94,35,1.2,9.6,2,1,1,0,0,0
562,2018/9/3,周至县王家河,819,33.6,680,91,4,0.8,45,5,0,0,0,0,0
563,2010/5/4,临潼区零口,798,41.3,142,30,35,0.7,19.1,2,1,1,1,0,0
565,2012/6/17,周至县板房子,2265,28.1,253,82,1,0.8,21.8,4,0,0,0,0,0
566,2010/5/17,未央区谭家,745,20.1,78,30,14,1.1,10.3,1,0,0,0,0,0
567,2014/8/17,灞桥区狄寨,860,10,922,63,7,0.8,8.5,1,0,1,1,0,1
568,2013/8/10,鄠邑区祖庵,2053,25.3,309,70,33,0.6,33.8,4,0,1,1,0,0
569,2015/9/20,灞桥区白鹿塬,857,18.2,118,57,21,0.7,25,1,0,1,0,0,0
570,2010/9/22,灞桥区狄寨,609,20.7,330,35,6,0.8,15.7,1,0,0,0,0,0
571,2018/9/24,周至县厚畛子,2306,31.7,542,95,17,1,16,5,1,0,0,0,0
572,2020/9/21,长安区蒿沟,812,25.9,25,70,38,1,21.9,2,1,0,0,0,0
576,2012/8/8,周至县厚畛子,2106,35.3,4,45,16,1.1,28.8,3,0,1,0,0,0
577,2010/5/17,鄠邑区甘河,1926,44.3,170,46,35,0.6,11.4,5,0,1,1,0,0
578,2021/5/9,雁塔区电子城,327,17.1,111,31,9,1.2,28.6,0,0,1,0,0,1
579,2018/8/10,鄠邑区祖庵,1052,27.2,161,91,3,1,11.7,4,0,1,0,0,0
580,2018/9/7,灞桥区白鹿塬,391,20.2,36,30,24,0.8,22.1,1,0,1,0,0,0
585,2012/9/19,临潼区骊山,421,34.6,1437,30,28,1.1,8.7,0,1,0,0,0,0
588,2019/7/7,周至县广济,1846,35.5,48,40,2,1.2,18.5,4,1,1,1,0,0
591,2015/7/30,灞桥区狄寨,506,14.8,53,40,38,1.2,13.8,1,0,1,1,0,0
592,2013/8/24,长安区引镇,1039,43,158,44,28,0.8,40,0,1,0,0,0,0
593,2019/10/4,长安区蒿沟,1887,34.6,624,92,9,1,8.5,2,0,1,1,0,0
594,2019/8/13,长安区太乙宫,2240,45.4,583,40,27,0.6,13.3,0,1,0,0,0,0
596,2021/10/28,雁塔区曲江,942,19.1,154,47,31,1,18.9,0,0,0,0,0,0
597,2017/5/24,未央区谭家,503,21.7,228,70,25,0.6,33.8,1,1,1,1,0,0
600,2013/8/11,临潼区代王,979,34,260,30,25,0.7,17.7,1,0,1,1,0,0
601,2016/5/24,鄠邑区玉蝉,1811,28.3,87,71,37,1.2,17.1,4,0,1,0,0,0
603,2010/9/27,长安区小峪,2442,40.4,156,95,31,0.6,40,2,1,0,0,0,0
604,2016/8/13,蓝田县汤峪,1332,43.7,598,73,33,0.9,34.5,0,0,0,0,0,0
605,2013/8/26,灞桥区白鹿塬,927,10,32,30,2,0.7,47.1,1,0,0,0,0,0
607,2012/7/23,鄠邑区涝峪,1462,37.8,65,67,27,1.1,5.9,0,1,1,1,0,0
610,2011/7/17,周至县板房子,1398,43.5,378,43,35,0.9,15.6,0,0,1,0,0,0
611,2021/6/18,蓝田县葛牌,1108,41.4,23,61,32,1,18.3,0,0,1,0,0,0
612,2013/10/7,蓝田县九间房,2297,26.5,247,40,30,0.8,20.9,3,0,1,0,0,0
613,2019/7/12,灞桥区席王,942,27.8,118,37,10,0.8,11.8,1,0,1,1,0,0
616,2022/8/25,长安区沣峪,972,38.3,517,40,6,1,36.4,2,1,0,1,0,0
618,2018/7/9,长安区太乙宫,1072,44.7,202,40,0,1,13.5,0,1,1,1,0,0
620,2011/7/29,灞桥区狄寨,794,17.1,123,42,38,1,22,1,0,1,0,0,0
621,2021/8/17,雁塔区电子城,644,22.9,29,30,3,0.7,23.6,1,1,0,0,0,1
622,2020/5/4,长安区子午峪,1879,26.4,118,95,28,1,20.7,3,0,1,0,0,0
623,2011/7/23,蓝田县玉川,1116,31.7,423,40,19,0.6,18.1,0,1,0,0,0,0
624,2010/9/17,长安区蒿沟,2196,42.6,332,87,37,1.2,20,0,0,1,0,0,0
626,2014/8/13,蓝田县蓝关,2311,35.2,832,95,11,1.1,12.7,2,1,0,0,0,0
629,2023/3/23,蓝田县葛牌,1621,30,47,92,26,1.1,17.9,5,0,0,0,0,0
630,2010/7/8,长安区小峪,1788,48.5,186,83,32,1.1,15.1,3,0,1,0,0,0
631,2015/7/21,雁塔区杜城,870,22.8,53,60,0,1.2,36,1,0,0,0,0,0
632,2022/4/2,雁塔区杜城,719,10,52,30,14,0.8,11.7,1,1,1,1,0,0
634,2022/9/15,蓝田县蓝关,1237,27,118,95,24,1,28.5,2,0,0,0,0,0
636,2013/7/10,灞桥区白鹿塬,607,17.8,581,41,39,1.2,6.1,1,1,0,0,0,0
637,2014/7/5,高陵区通远,647,17.3,578,51,40,1.2,12,4,0,0,0,0,0
638,2010/7/2,周至县广济,1673,44.1,796,77,24,0.7,40,5,1,0,0,0,0
639,2013/6/22,未央区谭家,474,31.2,353,30,7,0.7,20.7,1,1,1,1,0,0
640,2012/9/22,周至县厚畛子,1190,29,732,54,23,1,40,4,0,0,0,0,0
641,2016/8/13,灞桥区白鹿塬,790,20.2,66,46,8,0.6,6.5,1,0,1,0,0,0
644,2014/8/20,周至县马召,1408,29.2,488,40,21,1.1,24.5,4,0,0,0,0,0
646,2016/5/12,阎良区新兴,350,25.2,34,30,39,0.9,20.6,1,1,1,1,0,1
647,2022/5/29,高陵区耿镇,763,17.4,15,57,24,1,9.2,1,0,0,0,0,0
649,2022/3/30,长安区小峪,1209,28.9,824,95,29,0.9,38.8,3,0,0,0,0,0
651,2022/9/9,灞桥区洪庆,960,15.4,37,30,26,0.7,16.9,1,1,1,0,0,0
653,2016/8/8,周至县马召,1342,42.5,69,63,16,1.2,5.1,4,0,0,0,0,0
658,2016/9/9,蓝田县玉川,1646,41.1,908,54,40,1,16.8,2,1,0,1,0,0
660,2020/8/26,高陵区鹿苑,697,22.5,725,60,10,0.7,32.7,1,0,0,0,0,0
661,2019/9/17,周至县板房子,1635,38,99,50,22,1,11.8,3,0,0,0,0,1
662,2018/5/4,蓝田县蓝关,1791,23.5,34,79,23,0.6,6.9,5,0,0,0,0,0
663,2013/8/22,长安区沣峪,1052,50,996,40,33,1,43.3,3,1,0,0,0,0
664,2019/11/6,蓝田县葛牌,2263,46.8,456,69,40,0.6,20,3,0,1,0,0,0
665,2015/10/11,灞桥区席王,358,29.4,987,51,35,0.8,21.2,1,0,0,0,0,1
667,2022/1/21,蓝田县汤峪,2091,31.5,825,69,14,0.7,11.2,3,0,1,1,0,0
669,2010/9/1,长安区沣峪,1857,36.7,1189,47,11,0.6,8.8,3,0,0,0,0,0
671,2023/7/21,灞桥区席王,368,10.2,32,77,8,0.6,8.7,1,0,0,0,0,1
673,2016/8/20,蓝田县葛牌,2157,46.4,205,82,21,1.2,41,3,1,1,1,0,0
675,2021/9/24,长安区蒿沟,939,27.2,6,79,39,1,24.8,2,0,1,1,0,0
677,2014/9/19,灞桥区席王,963,10,700,30,21,1.2,9,1,1,0,0,0,1
678,2013/9/8,长安区引镇,1328,46.8,517,88,13,1.1,20.5,2,1,0,0,0,0
682,2021/9/22,高陵区通远,491,20.7,103,50,34,1.1,14.3,1,0,0,0,0,0
684,2010/7/4,高陵区耿镇,846,14.5,15,30,4,0.7,48,4,0,1,1,0,0
686,2020/2/20,周至县板房子,2141,21.6,266,40,19,0.7,33.3,4,1,1,1,0,0
687,2017/7/17,灞桥区席王,866,16,556,38,36,1.1,5.4,1,1,0,1,0,0
689,2014/9/7,阎良区武屯,769,21.2,202,50,31,0.7,27.1,2,0,0,0,0,0
692,2017/9/7,灞桥区狄寨,368,18.6,198,32,38,0.8,14.2,1,0,1,1,0,0
694,2021/6/29,蓝田县汤峪,2388,43.4,264,49,24,0.7,7.4,0,1,1,1,0,0
695,2013/8/15,周至县板房子,2219,34.1,20,40,32,1,11.8,0,1,1,1,0,0
696,2016/7/29,灞桥区狄寨,351,21.5,641,40,8,0.8,42,1,1,1,1,0,0
701,2021/11/26,长安区引镇,1070,28.8,558,40,8,0.7,15.3,3,1,1,1,0,0
703,2019/9/27,鄠邑区蒋村,910,24.7,162,40,35,0.7,20,5,0,0,0,0,0
704,2010/10/28,周至县马召,948,32,78,51,25,0.6,80,3,1,1,0,0,0
707,2020/12/11,未央区六村堡,700,19,123,30,18,1.1,36,1,0,0,0,0,0
709,2015/10/30,蓝田县玉川,2436,30.1,327,59,6,0.9,9.7,5,0,0,0,0,0
712,2014/5/15,鄠邑区玉蝉,1334,27.4,397,47,13,0.7,7.7,3,1,0,0,0,0
713,2012/10/2,灞桥区狄寨,801,22.9,134,30,16,0.8,27.3,1,0,1,0,0,0
714,2018/9/20,长安区蒿沟,1461,37.6,22,82,6,1,19.4,0,0,1,0,0,0
715,2019/9/5,蓝田县汤峪,1031,30.7,443,95,18,1.1,50,5,0,0,0,0,0
716,2019/2/3,长安区沣峪,1663,20,125,79,34,0.7,80,3,0,0,0,0,0
718,2016/9/16,长安区子午峪,2413,35.6,128,90,7,1.1,60,0,0,0,0,0,0
720,2017/5/27,长安区引镇,2097,44.2,862,40,12,1.2,19.2,3,0,0,0,0,0
721,2023/10/29,未央区六村堡,911,17,396,35,23,0.6,12.1,1,1,1,1,0,1
722,2018/3/24,周至县王家河,845,28.1,182,52,4,1,14.7,4,1,1,0,0,0
723,2014/9/8,鄠邑区玉蝉,2204,43.1,378,95,18,0.6,12.3,3,0,0,0,0,0
724,2019/6/15,周至县厚畛子,2476,20,2,83,22,1.1,25,4,1,0,1,0,0
729,2013/7/28,长安区太乙宫,1229,41.9,795,52,11,0.7,15,2,1,0,1,0,0
731,2014/9/25,临潼区斜口,412,25.9,269,30,13,1.1,13.3,0,1,0,1,0,1
732,2013/5/1,鄠邑区玉蝉,1411,45.9,140,71,33,0.9,8.1,5,1,1,1,0,0
733,2021/8/28,灞桥区洪庆,734,12.4,68,80,6,1.2,18.9,1,0,0,0,0,1
734,2018/9/15,鄠邑区蒋村,1840,41.9,228,40,17,0.6,20.7,3,1,1,1,0,0
735,2010/9/13,长安区蒿沟,2277,41.2,33,44,36,0.6,17.9,0,0,1,0,0,1
736,2013/7/24,长安区引镇,2086,20,40,75,4,0.8,8.9,0,0,0,0,0,0
737,2021/9/10,高陵区鹿苑,563,10.6,168,30,1,0.8,13.3,1,0,0,0,0,0
743,2010/7/27,周至县王家河,861,48.6,240,53,21,0.9,22.5,4,1,1,0,0,0
744,2015/11/13,灞桥区白鹿塬,667,27.9,902,50,18,1.1,17,1,0,0,0,0,1
746,2014/8/29,临潼区斜口,535,49.8,302,33,34,1.1,36.9,1,1,1,0,0,0
747,2011/7/9,长安区太乙宫,2285,30,966,67,4,1.2,31.2,0,0,0,0,0,0
748,2016/7/14,未央区六村堡,839,23,276,51,35,0.9,24.7,1,0,0,0,0,0
750,2014/10/14,鄠邑区祖庵,2205,33.5,83,63,4,1.2,11.8,0,0,0,0,0,0
751,2015/8/8,临潼区零口,727,36.5,228,30,2,0.8,22.2,2,0,0,0,0,0
752,2021/5/23,周至县板房子,1271,48.7,137,83,17,0.8,10.5,0,1,1,0,0,0
754,2019/9/20,周至县板房子,2362,38.1,447,56,22,0.9,10,5,0,1,0,0,0
756,2013/7/6,未央区谭家,783,20.6,859,30,18,1.1,15.6,1,0,1,0,0,0
757,2013/7/18,鄠邑区玉蝉,1997,50,177,40,36,0.6,25.2,4,0,0,0,0,0
760,2014/8/18,周至县马召,1941,23.8,856,40,38,1,10.7,5,0,1,1,0,0
761,2022/8/25,周至县板房子,1020,41.1,300,76,40,1.2,15.9,4,0,0,0,0,0
762,2020/10/26,蓝田县玉川,2390,42.2,68,53,31,0.6,9.3,5,1,0,0,0,0
763,2017/8/24,蓝田县蓝关,2290,35.6,487,63,2,0.9,11.3,0,0,1,0,0,0
765,2023/5/5,灞桥区洪庆,996,26.3,389,42,21,0.6,10.8,1,1,1,1,0,0
767,2016/5/29,未央区谭家,568,12.4,225,48,34,0.6,14.4,1,1,1,1,0,0
768,2020/9/21,临潼区斜口,575,34,529,30,37,0.7,36.4,0,0,1,0,0,0
770,2013/7/8,鄠邑区甘河,1973,20,23,40,5,0.6,28.5,0,0,0,0,0,1
772,2021/6/6,鄠邑区蒋村,2212,30.5,36,58,12,1.1,66,3,0,1,0,0,0
774,2023/11/12,鄠邑区涝峪,1677,28,282,90,3,1.1,5,4,0,1,1,0,1
775,2010/5/17,蓝田县九间房,2419,49.3,226,78,11,1.2,18.4,3,0,0,0,0,1
778,2012/9/15,灞桥区洪庆,774,24,311,60,16,0.8,10,1,1,0,0,0,0
779,2021/5/21,灞桥区席王,902,21.5,125,49,4,0.8,23.3,1,0,1,0,0,0
780,2021/5/16,周至县板房子,2185,42.8,16,91,17,1.1,18.2,5,0,0,0,0,0
782,2014/10/30,长安区引镇,1418,38.8,152,85,5,1,13.5,0,0,0,0,0,0
783,2017/9/21,雁塔区曲江,918,15.9,1072,36,36,0.9,12.7,0,1,1,1,0,0
785,2012/7/5,雁塔区电子城,725,16.3,173,45,12,0.7,36,0,1,0,0,0,0
786,2017/9/3,鄠邑区蒋村,1574,37.8,215,92,18,0.7,22.2,3,0,0,0,0,0
787,2013/7/27,周至县王家河,1296,37.2,409,73,27,1,39.2,5,0,1,0,0,0
788,2017/7/2,雁塔区曲江,713,18.2,265,30,4,0.8,14.3,1,0,1,0,0,0
789,2012/7/1,临潼区代王,540,37.5,115,30,25,0.8,23,0,0,1,1,0,0
790,2016/7/21,鄠邑区祖庵,2199,27.6,483,52,37,0.9,12.7,5,0,1,0,0,0
793,2023/9/5,灞桥区白鹿塬,829,20.4,292,72,10,1,9.4,1,0,0,0,0,0
795,2018/1/12,灞桥区洪庆,698,20.9,648,69,16,1.2,29.4,1,0,0,0,0,0
796,2018/7/21,周至县厚畛子,1970,45.3,89,95,11,0.7,27.8,4,0,0,0,0,0
798,2018/10/5,周至县板房子,2499,39.2,81,40,16,0.9,14,4,1,1,1,0,0
799,2018/2/4,灞桥区席王,883,12.5,26,56,27,0.7,20,1,1,1,0,0,1
800,2022/9/10,未央区谭家,545,19.9,471,30,30,0.7,11.6,1,0,1,0,0,0
802,2021/9/28,周至县厚畛子,1904,45.8,27,63,1,0.7,20.6,0,1,1,1,0,0
803,2016/7/6,周至县广济,2328,43.8,221,71,8,0.7,18.1,4,1,0,0,0,0
805,2017/10/19,灞桥区狄寨,773,24.8,98,65,21,1,13.5,1,1,1,0,0,0
806,2022/11/9,蓝田县蓝关,2184,26.9,245,71,6,1,23.6,3,0,0,0,0,0
809,2017/5/20,长安区蒿沟,1134,39.9,167,59,12,1,8.7,3,0,1,1,0,0
812,2012/8/4,鄠邑区涝峪,2246,22.6,112,87,10,0.9,22.5,5,0,0,0,0,0
813,2019/7/15,临潼区零口,313,45.6,683,30,38,0.7,26.7,0,1,1,1,0,0
814,2020/8/19,未央区未央宫,628,19.2,17,38,8,0.7,19,1,1,0,1,0,0
815,2017/8/6,周至县厚畛子,1933,32.2,90,40,7,1,9.1,3,0,1,1,0,0
816,2010/1/27,未央区六村堡,920,25.9,825,68,3,0.7,48.3,1,1,0,0,0,0
817,2023/8/8,周至县王家河,1862,33.6,702,85,36,0.8,40,0,0,0,0,0,0
821,2010/9/10,蓝田县蓝关,2320,32,83,61,1,0.8,30.9,3,1,1,0,0,0
822,2012/8/2,长安区引镇,2416,28.2,244,40,19,0.9,10.4,0,1,1,1,0,0
824,2019/8/13,周至县马召,2006,32.3,22,59,20,0.7,18.5,5,0,1,1,0,0
829,2014/9/21,灞桥区白鹿塬,834,20.6,57,30,6,0.6,28.3,1,0,0,0,0,1
830,2014/3/20,高陵区通远,721,22.3,343,30,8,1.1,28,4,0,1,1,0,0
833,2018/9/9,长安区蒿沟,954,26.6,12,52,20,1.1,21.9,3,0,1,1,0,0
834,2020/8/23,长安区太乙宫,2179,36.1,375,70,13,0.6,20,3,1,1,1,0,0
835,2020/4/20,长安区引镇,2228,49.5,134,40,2,0.9,22.2,0,0,1,1,0,0
837,2015/6/7,灞桥区洪庆,950,27.4,515,69,3,1,13.8,1,0,0,0,0,0
839,2019/11/26,临潼区骊山,676,32,203,36,12,0.8,14.5,0,1,1,1,0,0
842,2015/7/16,鄠邑区蒋村,1915,35.4,61,72,12,1,18.6,0,0,0,0,0,0
843,2012/7/12,长安区引镇,1823,28.7,128,76,26,0.6,31.8,3,0,1,1,0,0
844,2016/8/5,周至县板房子,2225,40.2,564,76,14,0.9,39.5,3,1,0,0,0,1
846,2017/7/4,临潼区代王,839,33.8,246,30,15,1.2,14.3,1,1,1,1,0,0
847,2020/7/7,长安区小峪,1316,38.6,106,87,14,1,17,2,1,1,1,0,0
848,2020/10/6,阎良区新兴,435,18.5,92,74,0,0.7,24.8,4,0,0,0,0,0
849,2019/7/2,蓝田县九间房,1621,33.8,223,68,32,1.2,38.6,2,1,0,0,0,0
850,2010/8/7,长安区子午峪,1773,44,492,61,10,0.7,28.6,2,0,0,0,0,0
852,2012/6/20,临潼区代王,955,37.5,55,47,17,0.6,33.1,0,1,1,0,0,0
853,2017/9/21,周至县广济,2390,44.1,306,90,12,0.6,11.1,0,1,0,1,0,0
856,2018/7/19,阎良区武屯,720,16.8,514,43,4,1,5,2,0,0,0,0,0
857,2016/7/31,鄠邑区玉蝉,1714,49.5,416,95,10,1.1,12.3,5,0,0,0,0,0
858,2013/11/8,阎良区关山,485,20.2,1500,80,40,1.2,32.2,2,0,0,0,0,0
859,2011/8/8,蓝田县九间房,2135,25.1,694,40,25,1.2,5,2,0,0,0,0,0
861,2015/2/28,长安区沣峪,2081,50,18,51,19,0.6,14.4,2,1,1,0,0,0
864,2014/9/16,周至县马召,1043,44.5,961,94,35,0.7,11.4,4,0,0,0,0,0
865,2019/8/28,蓝田县葛牌,1589,36.3,666,55,13,0.8,65.5,0,1,0,0,0,0
866,2013/10/15,鄠邑区涝峪,1849,44.2,394,77,21,0.9,28.6,5,0,0,0,0,0
875,2021/9/3,蓝田县葛牌,1573,43.4,54,79,0,1.1,60,2,1,0,0,0,0
876,2020/7/25,灞桥区席王,805,15.4,463,63,37,1.1,36.7,1,0,0,0,0,1
877,2023/7/5,长安区小峪,1785,21.1,159,71,35,1.1,16.2,2,0,0,0,0,0
879,2011/8/19,阎良区武屯,421,13.2,509,30,28,0.8,14.5,4,0,0,0,0,1
880,2018/9/15,鄠邑区蒋村,2469,32.2,578,76,2,0.7,25.6,3,1,1,0,0,0
884,2015/8/16,蓝田县九间房,971,28.6,423,64,20,1.2,14.5,3,0,1,1,0,0
889,2011/9/27,雁塔区电子城,534,13.6,1500,58,0,0.7,31.7,0,0,0,0,0,1
890,2013/8/2,蓝田县汤峪,2066,38.6,782,91,20,0.6,15.3,5,0,1,1,0,1
892,2021/8/29,周至县板房子,1918,44.2,286,86,25,0.6,11.7,0,0,1,0,0,0
893,2014/10/19,未央区未央宫,510,20.5,212,71,19,1,22.1,1,0,0,0,0,0
894,2018/10/15,周至县板房子,2484,32.5,773,44,22,1.1,20.6,0,1,1,1,0,0
896,2023/5/22,鄠邑区涝峪,971,33.7,774,46,22,0.6,34,0,0,1,1,0,0
897,2021/9/5,周至县王家河,1134,46.3,55,59,19,1,16.9,5,0,1,0,0,0
898,2010/8/23,蓝田县汤峪,833,26.9,379,44,22,1.2,21.8,0,1,0,0,0,0
899,2020/8/17,蓝田县玉川,1251,32,1014,95,21,1.2,7.5,0,0,0,0,0,0
901,2016/9/9,灞桥区白鹿塬,441,18.2,121,30,31,1.1,24.8,1,1,1,1,0,0
902,2018/9/6,蓝田县汤峪,1468,36.3,104,81,32,1.2,57.9,3,0,1,1,0,0
904,2023/10/6,周至县广济,2113,27.1,341,76,13,1,23.7,4,0,1,0,0,0
905,2019/9/23,临潼区骊山,450,33.3,26,36,10,0.8,14,0,0,1,1,0,1
907,2012/7/16,鄠邑区蒋村,1241,20.4,556,41,24,0.7,5.6,4,0,0,0,0,0
909,2016/10/9,灞桥区席王,745,12.1,50,69,34,0.7,11.3,1,0,0,0,0,0
910,2011/8/20,鄠邑区涝峪,2084,46.4,696,63,35,1,25,5,0,0,0,0,0
912,2016/5/6,灞桥区狄寨,354,28.6,858,30,9,1.1,17.1,1,0,1,0,0,1
915,2012/9/12,蓝田县汤峪,1725,34.3,389,44,36,1.1,30.3,3,1,1,1,0,0
916,2021/5/7,长安区子午峪,1046,31.3,605,42,29,0.6,13.6,3,1,0,0,0,0
917,2019/9/26,雁塔区杜城,349,21.6,174,30,7,1.2,23.5,1,0,0,0,0,0
920,2022/10/5,长安区太乙宫,2433,30.4,37,89,25,1,17.6,2,1,1,1,0,0
921,2022/10/1,长安区蒿沟,1489,25.3,268,40,4,1.2,9.9,2,0,0,0,0,0
924,2021/8/20,周至县王家河,845,29.9,644,88,17,1.2,22.2,5,0,1,0,0,0
925,2010/9/24,蓝田县蓝关,2296,34.7,510,90,15,0.7,9.9,2,1,0,0,0,0
926,2013/9/23,临潼区骊山,430,47.7,94,58,31,0.8,10.8,0,1,1,0,0,1
929,2013/6/9,高陵区通远,924,18.8,510,30,4,1.2,30,4,0,0,0,0,0
939,2016/9/9,鄠邑区祖庵,977,34,114,40,31,1,56,0,1,1,0,0,0
943,2013/9/27,鄠邑区祖庵,2066,41.5,82,40,1,0.8,20.7,3,1,1,0,0,0
948,2010/7/16,长安区沣峪,1837,31.7,57,95,15,1.1,22.2,0,0,0,0,0,0
949,2014/9/29,临潼区骊山,657,36.7,18,30,29,0.8,15.9,0,0,1,0,0,0
950,2018/10/23,蓝田县玉川,1342,34.5,1054,71,26,1.1,16.6,0,0,1,1,0,0
952,2011/5/21,蓝田县蓝关,2329,34.8,255,87,17,0.8,32.1,5,1,1,1,0,0
953,2015/6/11,灞桥区白鹿塬,480,22.9,491,45,37,1.2,54,1,1,1,1,0,1
954,2017/12/17,长安区子午峪,814,41.5,13,40,16,0.6,32.9,0,1,1,1,0,0
955,2010/7/16,临潼区斜口,426,40.6,27,30,1,1.2,11.6,2,1,0,1,0,0
957,2013/8/28,灞桥区白鹿塬,528,25.2,614,30,36,1.2,21.4,1,1,0,0,0,0
959,2017/6/4,灞桥区洪庆,369,17.8,83,56,15,1.2,14.8,1,0,1,0,0,1
961,2011/8/14,临潼区零口,965,37.7,557,51,7,1.2,11.6,0,1,0,1,0,1
963,2022/9/1,长安区沣峪,1693,30.4,196,55,0,0.8,11.3,0,1,0,0,0,0
965,2016/6/14,灞桥区白鹿塬,770,19.8,954,30,37,0.6,30,1,0,0,0,0,0
966,2018/5/17,蓝田县蓝关,2476,29.2,20,66,26,0.6,30.2,5,0,1,0,0,0
967,2021/9/20,周至县板房子,1796,33.5,583,40,9,0.7,16.7,5,1,1,1,0,0
968,2014/5/16,鄠邑区玉蝉,1526,37.7,79,40,12,0.7,25.4,5,1,0,0,0,0
970,2019/7/14,雁塔区杜城,587,17,418,36,23,0.9,26.2,1,0,1,0,0,0
973,2018/8/28,长安区沣峪,871,36.3,154,40,21,1.2,7.7,0,1,1,1,0,0
975,2019/10/2,鄠邑区甘河,1406,47.3,1163,45,23,0.6,14.6,0,0,1,0,0,0
977,2020/3/22,蓝田县葛牌,958,36,949,93,34,0.8,14.4,3,1,1,0,0,0
978,2020/8/11,长安区引镇,1741,25.8,30,92,27,0.9,35.6,0,0,0,0,0,0
979,2019/9/20,灞桥区狄寨,743,14,172,59,4,1.2,11.1,1,1,0,0,0,0
980,2011/10/11,蓝田县蓝关,1009,50,1078,85,18,0.9,51.7,2,1,0,0,0,0
982,2018/8/6,蓝田县蓝关,1033,44.4,567,40,12,1.2,12.2,2,0,0,0,0,0
984,2019/7/24,临潼区代王,422,32,520,47,21,1.1,7.1,1,1,0,0,0,0
985,2023/7/2,鄠邑区甘河,984,48.9,96,95,18,1.2,16.4,4,0,1,0,0,0
987,2011/7/7,临潼区骊山,641,40,50,80,11,0.7,51.3,0,1,1,1,0,0
988,2014/10/20,鄠邑区祖庵,1797,44.4,545,40,35,1.2,78,0,0,1,1,0,0
989,2013/9/21,未央区谭家,926,13.9,520,55,14,0.6,12.3,1,0,0,0,0,1
991,2012/12/24,鄠邑区涝峪,2396,50,41,40,36,0.7,23.8,0,1,0,0,0,0
992,2017/7/28,长安区蒿沟,1520,29.3,570,58,19,0.8,7.6,0,0,0,0,0,0
993,2011/8/8,长安区引镇,1283,46.3,30,53,22,1,17.8,3,0,0,0,0,0
