编号,发生时间,区域,elevation,slope,waterDistance,vegetationCoverage,rainfall,duration,最大小时雨强(mm/h),rockType,landslide,debris_flow,barrier_lake,torrential_flood,water_logging
691,2018/6/3,周至县王家河,1918,38.8,0,40,21,1.5,28,5,0,1,0,1,0
692,2017/9/7,灞桥区狄寨,368,18.6,198,32,17,2.4,14.2,1,0,1,1,0,0
693,2019/5/16,灞桥区洪庆,815,25.5,149,43,37,1.2,61.7,1,1,0,0,1,0
694,2021/6/29,蓝田县汤峪,2388,43.4,264,49,20,5.4,7.4,0,1,1,1,0,0
695,2013/8/15,周至县板房子,2219,34.1,20,40,20,3.4,11.8,0,1,1,1,0,0
696,2016/7/29,灞桥区狄寨,351,21.5,641,40,21,1,42,1,1,1,1,0,0
697,2015/7/30,蓝田县九间房,1313,31.9,99,94,20,1.5,26.7,0,1,1,1,1,0
698,2010/5/17,周至县厚畛子,1206,28,449,92,67,9.8,13.7,0,0,1,0,1,0
699,2022/9/27,雁塔区杜城,492,27.5,128,66,20,2,20,1,0,0,0,1,0
700,2015/8/15,长安区沣峪,1495,42,162,40,29,2.3,25.2,2,1,0,1,1,0
701,2021/11/26,长安区引镇,1070,28.8,558,40,56,7.3,15.3,3,1,1,1,0,0
702,2018/9/28,蓝田县汤峪,1767,43.9,75,88,52,3.6,28.9,3,1,1,1,1,0
703,2019/9/27,鄠邑区蒋村,910,24.7,162,40,20,2,20,5,0,0,0,0,0
704,2010/10/28,周至县马召,948,32,78,51,77,1.9,80,3,1,1,0,0,0
705,2019/7/13,周至县广济,2290,31.3,207,66,21,2.9,14.5,3,0,1,0,1,0
706,2023/7/19,雁塔区电子城,565,34.8,10,30,20,3.3,12.1,0,0,1,0,1,0
707,2020/12/11,未央区六村堡,700,19,123,30,18,1,36,1,0,0,0,0,0
708,2021/9/2,长安区引镇,1897,26,129,40,63,9.9,12.7,2,1,1,1,1,0
709,2015/10/30,蓝田县玉川,2436,30.1,327,59,35,7.2,9.7,5,0,0,0,0,0
710,2014/9/16,周至县王家河,1648,44.2,389,66,70,13.7,10.2,5,0,1,1,1,0
711,2019/7/28,周至县厚畛子,1402,28.1,182,43,23,2.1,21.9,4,1,1,1,1,0
712,2014/5/15,鄠邑区玉蝉,1334,27.4,397,47,31,8.1,7.7,3,1,0,0,0,0
713,2012/10/2,灞桥区狄寨,801,22.9,134,30,15,1.1,27.3,1,0,1,0,0,0
714,2018/9/20,长安区蒿沟,1461,37.6,22,82,35,3.6,19.4,0,0,1,0,0,0
715,2019/9/5,蓝田县汤峪,1031,30.7,443,95,25,1,50,5,0,0,0,0,0
716,2019/2/3,长安区沣峪,1663,20,125,79,43,1,80,3,0,0,0,0,0
717,2022/6/19,周至县马召,2187,35.6,48,95,39,1.9,41.1,3,1,1,1,1,0
718,2016/9/16,长安区子午峪,2413,35.6,128,90,54,1.8,60,0,0,0,0,0,0
719,2015/5/6,长安区沣峪,1927,42.2,364,64,20,2.4,16.7,0,1,1,0,1,0
720,2017/5/27,长安区引镇,2097,44.2,862,40,25,2.6,19.2,3,0,0,0,0,0
721,2023/10/29,未央区六村堡,911,17,396,35,20,3.3,12.1,1,1,1,1,0,1
722,2018/3/24,周至县王家河,845,28.1,182,52,44,6,14.7,4,1,1,0,0,0
723,2014/9/8,鄠邑区玉蝉,2204,43.1,378,95,35,5.7,12.3,3,0,0,0,0,0
724,2019/6/15,周至县厚畛子,2476,20,2,83,20,1.6,25,4,1,0,1,0,0
725,2020/7/31,临潼区代王,530,35.6,16,30,33,3.1,21.3,1,0,1,0,1,0
726,2023/8/30,灞桥区白鹿塬,439,21.5,395,44,24,9.2,5.2,1,1,1,1,1,1
727,2010/9/13,鄠邑区祖庵,1400,20,12,80,40,2,40,3,1,0,1,1,0
728,2021/5/11,周至县马召,1926,37.6,56,95,74,6.4,23.1,0,1,1,1,1,0
729,2013/7/28,长安区太乙宫,1229,41.9,795,52,27,3.6,15,2,1,0,1,0,0
730,2022/7/23,长安区小峪,2086,22.8,445,40,39,5.3,14.7,0,0,1,1,1,0
731,2014/9/25,临潼区斜口,412,25.9,269,30,20,3,13.3,0,1,0,1,0,1
732,2013/5/1,鄠邑区玉蝉,1411,45.9,140,71,29,7.2,8.1,5,1,1,1,0,0
733,2021/8/28,灞桥区洪庆,734,12.4,68,80,18,1.9,18.9,1,0,0,0,0,1
734,2018/9/15,鄠邑区蒋村,1840,41.9,228,40,28,2.7,20.7,3,1,1,1,0,0
735,2010/9/13,长安区蒿沟,2277,41.2,33,44,51,5.7,17.9,0,0,1,0,0,1
736,2013/7/24,长安区引镇,2086,20,40,75,20,4.5,8.9,0,0,0,0,0,0
737,2021/9/10,高陵区鹿苑,563,10.6,168,30,10,1.5,13.3,1,0,0,0,0,0
738,2017/12/10,蓝田县玉川,1674,34.4,257,42,23,1.5,30.7,0,1,0,0,1,0
739,2016/7/15,未央区六村堡,775,16.2,522,51,26,2.8,18.6,1,1,0,1,1,0
740,2012/5/24,灞桥区席王,731,11.3,222,44,39,3,26,1,1,0,0,1,0
741,2015/8/5,临潼区骊山,832,31.9,32,30,31,7.9,7.8,1,1,1,1,1,0
742,2012/8/7,灞桥区白鹿塬,813,20.6,800,30,29,4.2,13.8,1,1,0,1,1,0
743,2010/7/27,周至县王家河,861,48.6,240,53,54,4.8,22.5,4,1,1,0,0,0
744,2015/11/13,灞桥区白鹿塬,667,27.9,902,50,39,4.6,17,1,0,0,0,0,1
745,2011/9/16,周至县马召,2225,46.9,838,95,50,2.6,38.5,4,1,0,1,1,0
746,2014/8/29,临潼区斜口,535,49.8,302,33,24,1.3,36.9,1,1,1,0,0,0
747,2011/7/9,长安区太乙宫,2285,30,966,67,25,1.6,31.2,0,0,0,0,0,0
748,2016/7/14,未央区六村堡,839,23,276,51,21,1.7,24.7,1,0,0,0,0,0
749,2018/9/30,高陵区鹿苑,824,17.9,0,30,16,7,5,1,1,1,0,1,0
750,2014/10/14,鄠邑区祖庵,2205,33.5,83,63,20,3.4,11.8,0,0,0,0,0,0
751,2015/8/8,临潼区零口,727,36.5,228,30,30,2.7,22.2,2,0,0,0,0,0
752,2021/5/23,周至县板房子,1271,48.7,137,83,32,6.1,10.5,0,1,1,0,0,0
753,2011/8/31,周至县马召,1933,43.4,94,75,35,2.9,24.1,3,0,1,1,1,0
754,2019/9/20,周至县板房子,2362,38.1,447,56,20,4,10,5,0,1,0,0,0
755,2020/4/16,蓝田县玉川,2143,38.9,115,91,20,2,20,3,1,0,1,1,0
756,2013/7/6,未央区谭家,783,20.6,859,30,32,4.1,15.6,1,0,1,0,0,0
757,2013/7/18,鄠邑区玉蝉,1997,50,177,40,34,2.7,25.2,4,0,0,0,0,0
758,2010/5/4,临潼区零口,448,35.1,414,47,21,1,42,2,1,1,1,1,0
759,2020/7/1,周至县厚畛子,2003,28.5,277,91,33,4.9,13.5,0,0,0,0,1,0
760,2014/8/18,周至县马召,1941,23.8,856,40,46,8.6,10.7,5,0,1,1,0,0
761,2022/8/25,周至县板房子,1020,41.1,300,76,27,3.4,15.9,4,0,0,0,0,0
762,2020/10/26,蓝田县玉川,2390,42.2,68,53,39,8.4,9.3,5,1,0,0,0,0
763,2017/8/24,蓝田县蓝关,2290,35.6,487,63,48,8.5,11.3,0,0,1,0,0,0
764,2021/5/8,周至县板房子,1866,37.8,318,40,35,1.7,41.2,5,1,1,1,1,0
765,2023/5/5,灞桥区洪庆,996,26.3,389,42,13,2.4,10.8,1,1,1,1,0,0
766,2010/8/31,长安区引镇,1269,32.7,17,92,29,3.1,18.7,0,1,0,0,1,0
767,2016/5/29,未央区谭家,568,12.4,225,48,28,3.9,14.4,1,1,1,1,0,0
768,2020/9/21,临潼区斜口,575,34,529,30,20,1.1,36.4,0,0,1,0,0,0
769,2021/9/22,长安区子午峪,911,30.1,194,40,20,4.1,9.8,3,0,1,1,1,0
770,2013/7/8,鄠邑区甘河,1973,20,23,40,37,2.6,28.5,0,0,0,0,0,1
771,2013/8/4,周至县广济,1320,43,100,90,24,3,16,3,1,0,1,1,0
772,2021/6/6,鄠邑区蒋村,2212,30.5,36,58,33,1,66,3,0,1,0,0,0
773,2014/4/13,长安区小峪,1818,49.9,71,88,22,2.5,17.6,0,1,1,1,1,0
774,2023/11/12,鄠邑区涝峪,1677,28,282,90,79,33.4,5,4,0,1,1,0,1
775,2010/5/17,蓝田县九间房,2419,49.3,226,78,45,4.9,18.4,3,0,0,0,0,1
776,2014/9/26,周至县王家河,2027,45.7,997,76,75,13.6,11,4,1,1,1,1,0
777,2012/8/29,长安区沣峪,2303,42.6,52,65,20,1,40,3,1,0,1,1,0
778,2012/9/15,灞桥区洪庆,774,24,311,60,14,2.8,10,1,1,0,0,0,0
779,2021/5/21,灞桥区席王,902,21.5,125,49,14,1.2,23.3,1,0,1,0,0,0
780,2021/5/16,周至县板房子,2185,42.8,16,91,20,2.2,18.2,5,0,0,0,0,0
781,2011/6/26,临潼区斜口,899,20,437,76,29,1.8,32.2,2,1,1,1,1,0
782,2014/10/30,长安区引镇,1418,38.8,152,85,46,6.8,13.5,0,0,0,0,0,0
783,2017/9/21,雁塔区曲江,918,15.9,1072,36,19,3,12.7,0,1,1,1,0,0
784,2012/7/16,雁塔区曲江,715,24.8,617,30,17,2,17,1,0,1,1,1,0
785,2012/7/5,雁塔区电子城,725,16.3,173,45,18,1,36,0,1,0,0,0,0
786,2017/9/3,鄠邑区蒋村,1574,37.8,215,92,30,2.7,22.2,3,0,0,0,0,0
787,2013/7/27,周至县王家河,1296,37.2,409,73,47,2.4,39.2,5,0,1,0,0,0
788,2017/7/2,雁塔区曲江,713,18.2,265,30,20,2.8,14.3,1,0,1,0,0,0
789,2012/7/1,临潼区代王,540,37.5,115,30,31,2.7,23,0,0,1,1,0,0
790,2016/7/21,鄠邑区祖庵,2199,27.6,483,52,26,4.1,12.7,5,0,1,0,0,0
791,2018/6/17,蓝田县葛牌,1415,20,48,94,33,6.9,9.6,2,0,0,0,1,0
792,2019/6/18,临潼区代王,921,39.3,53,80,20,1.7,23.5,0,0,1,1,1,0
793,2023/9/5,灞桥区白鹿塬,829,20.4,292,72,36,7.7,9.4,1,0,0,0,0,0
794,2015/9/14,蓝田县九间房,2022,35.5,552,40,62,8.6,14.4,5,1,1,1,1,0
795,2018/1/12,灞桥区洪庆,698,20.9,648,69,25,1.7,29.4,1,0,0,0,0,0
796,2018/7/21,周至县厚畛子,1970,45.3,89,95,32,2.3,27.8,4,0,0,0,0,0
797,2011/5/20,灞桥区狄寨,672,20.1,6,30,20,10.2,5,1,1,0,0,1,0
798,2018/10/5,周至县板房子,2499,39.2,81,40,28,4,14,4,1,1,1,0,0
799,2018/2/4,灞桥区席王,883,12.5,26,56,10,1,20,1,1,1,0,0,1
800,2022/9/10,未央区谭家,545,19.9,471,30,22,3.8,11.6,1,0,1,0,0,0
801,2019/6/22,长安区小峪,1549,33.4,51,40,60,4.6,26.1,0,1,1,1,1,1
802,2021/9/28,周至县厚畛子,1904,45.8,27,63,37,3.6,20.6,0,1,1,1,0,0
803,2016/7/6,周至县广济,2328,43.8,221,71,28,3.1,18.1,4,1,0,0,0,0
804,2015/7/2,蓝田县蓝关,1014,20.3,18,89,22,1,44,3,1,0,0,1,0
805,2017/10/19,灞桥区狄寨,773,24.8,98,65,27,4,13.5,1,1,1,0,0,0
806,2022/11/9,蓝田县蓝关,2184,26.9,245,71,46,3.9,23.6,3,0,0,0,0,0
807,2012/5/30,周至县广济,1793,41,109,95,101,12.5,16.2,5,1,1,1,1,1
808,2021/7/2,高陵区通远,852,16.4,252,39,16,1,32,1,0,1,0,1,0
809,2017/5/20,长安区蒿沟,1134,39.9,167,59,29,6.7,8.7,3,0,1,1,0,0
810,2019/7/29,临潼区零口,596,38.8,254,30,147,10.3,28.5,1,1,1,1,1,0
811,2014/9/18,长安区太乙宫,1738,37.6,534,73,34,1.4,48.6,3,0,1,0,1,0
812,2012/8/4,鄠邑区涝峪,2246,22.6,112,87,45,4,22.5,5,0,0,0,0,0
813,2019/7/15,临潼区零口,313,45.6,683,30,20,1.5,26.7,0,1,1,1,0,0
814,2020/8/19,未央区未央宫,628,19.2,17,38,38,4,19,1,1,0,1,0,0
815,2017/8/6,周至县厚畛子,1933,32.2,90,40,42,9.2,9.1,3,0,1,1,0,0
816,2010/1/27,未央区六村堡,920,25.9,825,68,29,1.2,48.3,1,1,0,0,0,0
817,2023/8/8,周至县王家河,1862,33.6,702,85,20,1,40,0,0,0,0,0,0
818,2011/9/19,蓝田县九间房,2481,35.7,78,51,58,9.4,12.3,0,1,1,1,1,0
819,2016/8/19,高陵区通远,609,18.7,41,30,42,9.2,9.1,1,0,0,0,1,0
820,2015/9/14,长安区子午峪,1904,27.8,162,83,48,8.9,10.8,2,0,1,1,1,0
821,2010/9/10,蓝田县蓝关,2320,32,83,61,34,2.2,30.9,3,1,1,0,0,0
822,2012/8/2,长安区引镇,2416,28.2,244,40,47,9,10.4,0,1,1,1,0,0
823,2022/2/24,临潼区零口,355,46,275,71,51,16.2,6.3,0,1,1,1,1,0
824,2019/8/13,周至县马召,2006,32.3,22,59,36,3.9,18.5,5,0,1,1,0,0
825,2016/8/15,周至县板房子,2255,23.5,79,40,96,17.3,11.1,3,1,1,1,1,0
826,2015/8/27,长安区沣峪,2000,20.5,207,49,34,1.7,40,3,0,1,1,1,0
827,2012/7/21,鄠邑区甘河,2201,20,177,40,42,3.5,24,0,0,0,0,1,0
828,2012/7/19,长安区太乙宫,894,24.7,7,53,32,1.9,33.7,3,0,1,0,1,0
829,2014/9/21,灞桥区白鹿塬,834,20.6,57,30,17,1.2,28.3,1,0,0,0,0,1
830,2014/3/20,高陵区通远,721,22.3,343,30,14,1,28,4,0,1,1,0,0
831,2017/10/22,鄠邑区祖庵,801,42.6,65,79,51,4,25.5,0,0,1,1,1,0
832,2015/8/28,鄠邑区玉蝉,1906,27.3,5,44,20,2.1,19,3,0,0,0,1,0
833,2018/9/9,长安区蒿沟,954,26.6,12,52,34,3.1,21.9,3,0,1,1,0,0
834,2020/8/23,长安区太乙宫,2179,36.1,375,70,26,2.6,20,3,1,1,1,0,0
835,2020/4/20,长安区引镇,2228,49.5,134,40,20,1.8,22.2,0,0,1,1,0,0
836,2023/5/14,长安区小峪,1066,27.5,322,53,54,6.2,17.4,2,0,1,1,1,0
837,2015/6/7,灞桥区洪庆,950,27.4,515,69,18,2.6,13.8,1,0,0,0,0,0
838,2018/12/17,阎良区新兴,860,23,167,30,18,4.2,8.6,4,1,1,0,1,0
839,2019/11/26,临潼区骊山,676,32,203,36,21,2.9,14.5,0,1,1,1,0,0
840,2011/9/14,周至县马召,1395,29.2,404,65,30,20.6,5,3,0,0,0,1,1
841,2013/7/27,临潼区零口,708,28.5,172,30,59,4.5,26.2,0,1,1,1,1,0
842,2015/7/16,鄠邑区蒋村,1915,35.4,61,72,26,2.8,18.6,0,0,0,0,0,0
843,2012/7/12,长安区引镇,1823,28.7,128,76,27,1.7,31.8,3,0,1,1,0,0
844,2016/8/5,周至县板房子,2225,40.2,564,76,85,4.3,39.5,3,1,0,0,0,1
845,2015/7/12,鄠邑区蒋村,2064,39.9,283,40,24,3.7,13,0,1,1,1,1,0
846,2017/7/4,临潼区代王,839,33.8,246,30,20,2.8,14.3,1,1,1,1,0,0
847,2020/7/7,长安区小峪,1316,38.6,106,87,51,6,17,2,1,1,1,0,0
848,2020/10/6,阎良区新兴,435,18.5,92,74,26,2.1,24.8,4,0,0,0,0,0
849,2019/7/2,蓝田县九间房,1621,33.8,223,68,27,1.4,38.6,2,1,0,0,0,0
850,2010/8/7,长安区子午峪,1773,44,492,61,20,1.4,28.6,2,0,0,0,0,0
851,2020/5/16,周至县厚畛子,946,28.3,161,76,36,8.1,8.9,4,0,1,1,1,0
852,2012/6/20,临潼区代王,955,37.5,55,47,48,2.9,33.1,0,1,1,0,0,0
853,2017/9/21,周至县广济,2390,44.1,306,90,31,5.6,11.1,0,1,0,1,0,0
854,2014/7/24,鄠邑区甘河,1509,40.7,404,50,83,2.6,63.8,0,1,1,1,1,1
855,2012/9/30,长安区子午峪,1812,22.9,606,78,25,4.5,11.1,0,0,1,1,1,0
856,2018/7/19,阎良区武屯,720,16.8,514,43,19,7.9,5,2,0,0,0,0,0
857,2016/7/31,鄠邑区玉蝉,1714,49.5,416,95,27,4.4,12.3,5,0,0,0,0,0
858,2013/11/8,阎良区关山,485,20.2,1500,80,29,1.8,32.2,2,0,0,0,0,0
859,2011/8/8,蓝田县九间房,2135,25.1,694,40,30,14.1,5,2,0,0,0,0,0
860,2019/8/12,长安区蒿沟,2373,24.4,76,64,56,5.4,20.7,3,0,0,0,1,0
861,2015/2/28,长安区沣峪,2081,50,18,51,39,5.4,14.4,2,1,1,0,0,0
862,2023/8/22,灞桥区狄寨,712,18.9,665,43,12,1,24,1,0,0,0,1,0
863,2011/10/25,周至县板房子,877,41.6,699,93,41,20.2,5,3,1,1,0,1,0
864,2014/9/16,周至县马召,1043,44.5,961,94,28,4.9,11.4,4,0,0,0,0,0
865,2019/8/28,蓝田县葛牌,1589,36.3,666,55,36,1.1,65.5,0,1,0,0,0,0
866,2013/10/15,鄠邑区涝峪,1849,44.2,394,77,50,3.5,28.6,5,0,0,0,0,0
867,2019/9/24,长安区小峪,1397,48.4,31,89,35,4.2,16.7,0,1,1,1,1,0
868,2016/6/6,周至县厚畛子,1882,42.5,131,42,22,3.2,13.8,3,0,1,1,1,0
869,2017/10/12,长安区蒿沟,2235,30.4,43,79,25,1.9,26.3,3,0,0,0,1,0
870,2016/9/27,灞桥区白鹿塬,669,21.3,431,30,13,2,13,1,0,0,0,1,0
871,2019/8/10,灞桥区席王,589,22.6,223,30,20,2.5,16,1,1,0,0,1,0
872,2022/10/24,周至县板房子,2352,31.6,65,76,25,9.4,5.3,0,0,1,1,1,0
873,2016/10/16,周至县王家河,1560,24.2,91,68,59,5.9,20,3,0,0,0,1,0
874,2023/4/8,雁塔区曲江,403,10.9,404,35,20,2.1,19,1,0,1,1,1,1
875,2021/9/3,蓝田县葛牌,1573,43.4,54,79,30,1,60,2,1,0,0,0,0
876,2020/7/25,灞桥区席王,805,15.4,463,63,22,1.2,36.7,1,0,0,0,0,1
877,2023/7/5,长安区小峪,1785,21.1,159,71,34,4.2,16.2,2,0,0,0,0,0
878,2020/9/26,周至县王家河,1474,20.1,537,69,77,6.4,24.1,5,1,1,1,1,0
879,2011/8/19,阎良区武屯,421,13.2,509,30,21,2.9,14.5,4,0,0,0,0,1
880,2018/9/15,鄠邑区蒋村,2469,32.2,578,76,23,1.8,25.6,3,1,1,0,0,0
881,2016/10/7,未央区六村堡,685,25.8,33,47,18,10.2,5,1,1,1,1,1,0
882,2017/7/17,长安区子午峪,816,39.4,170,51,43,4.1,21,0,1,1,1,1,1
883,2010/9/7,蓝田县汤峪,1321,44.6,404,45,26,2.4,21.7,0,1,1,1,1,0
884,2015/8/16,蓝田县九间房,971,28.6,423,64,47,6.5,14.5,3,0,1,1,0,0
885,2017/9/16,鄠邑区玉蝉,2184,27.7,21,62,28,6.3,8.9,3,1,0,1,1,0
886,2015/9/4,周至县马召,1419,38.3,313,79,20,3,13.3,5,1,1,1,1,0
887,2019/8/7,长安区沣峪,1965,23.8,188,94,29,1.8,32.2,0,0,1,0,1,0
888,2012/3/8,鄠邑区玉蝉,1951,28.3,170,82,30,1.5,40,5,0,0,0,1,0
889,2011/9/27,雁塔区电子城,534,13.6,1500,58,38,2.4,31.7,0,0,0,0,0,1
890,2013/8/2,蓝田县汤峪,2066,38.6,782,91,23,3,15.3,5,0,1,1,0,1
891,2020/7/19,长安区子午峪,1219,32.2,832,89,81,11.9,13.6,2,0,1,1,1,0
892,2021/8/29,周至县板房子,1918,44.2,286,86,28,4.8,11.7,0,0,1,0,0,0
893,2014/10/19,未央区未央宫,510,20.5,212,71,21,1.9,22.1,1,0,0,0,0,0
894,2018/10/15,周至县板房子,2484,32.5,773,44,37,3.6,20.6,0,1,1,1,0,0
895,2011/8/4,长安区沣峪,1880,42.2,29,95,85,5.2,32.7,0,0,1,1,1,0
896,2023/5/22,鄠邑区涝峪,971,33.7,774,46,68,4,34,0,0,1,1,0,0
897,2021/9/5,周至县王家河,1134,46.3,55,59,50,5.9,16.9,5,0,1,0,0,0
898,2010/8/23,蓝田县汤峪,833,26.9,379,44,36,3.3,21.8,0,1,0,0,0,0
899,2020/8/17,蓝田县玉川,1251,32,1014,95,43,11.5,7.5,0,0,0,0,0,0
900,2021/7/3,蓝田县九间房,1485,37.6,212,40,20,2.3,17.4,0,1,1,1,1,0
901,2016/9/9,灞桥区白鹿塬,441,18.2,121,30,26,2.1,24.8,1,1,1,1,0,0
902,2018/9/6,蓝田县汤峪,1468,36.3,104,81,84,2.9,57.9,3,0,1,1,0,0
903,2021/10/25,鄠邑区玉蝉,1791,34,312,51,65,14.5,9,4,1,1,1,1,0
904,2023/10/6,周至县广济,2113,27.1,341,76,45,3.8,23.7,4,0,1,0,0,0
905,2019/9/23,临潼区骊山,450,33.3,26,36,30,4.3,14,0,0,1,1,0,1
906,2020/6/12,周至县厚畛子,1006,39.5,59,82,36,6.5,11.1,0,1,1,1,1,0
907,2012/7/16,鄠邑区蒋村,1241,20.4,556,41,35,12.6,5.6,4,0,0,0,0,0
908,2022/12/9,长安区子午峪,1714,44.3,67,89,88,10,17.6,3,0,1,1,1,0
909,2016/10/9,灞桥区席王,745,12.1,50,69,17,3,11.3,1,0,0,0,0,0
910,2011/8/20,鄠邑区涝峪,2084,46.4,696,63,20,1.6,25,5,0,0,0,0,0
911,2011/9/23,长安区沣峪,1462,32.8,16,40,25,1,50,0,1,0,0,1,0
912,2016/5/6,灞桥区狄寨,354,28.6,858,30,18,2.1,17.1,1,0,1,0,0,1
913,2014/6/11,鄠邑区祖庵,2463,28.2,98,81,28,3.9,14.4,3,0,1,1,1,0
914,2014/8/27,周至县板房子,2277,29.8,272,52,52,4,26,3,0,1,1,1,0
915,2012/9/12,蓝田县汤峪,1725,34.3,389,44,47,3.1,30.3,3,1,1,1,0,0
916,2021/5/7,长安区子午峪,1046,31.3,605,42,32,4.7,13.6,3,1,0,0,0,0
917,2019/9/26,雁塔区杜城,349,21.6,174,30,20,1.7,23.5,1,0,0,0,0,0
918,2018/6/22,蓝田县玉川,1955,41.9,100,58,33,4,16.5,5,1,1,1,1,0
919,2017/9/5,周至县厚畛子,1929,36.4,394,91,62,9.1,13.6,4,1,1,1,1,0
920,2022/10/5,长安区太乙宫,2433,30.4,37,89,30,3.4,17.6,2,1,1,1,0,0
921,2022/10/1,长安区蒿沟,1489,25.3,268,40,34,6.9,9.9,2,0,0,0,0,0
922,2020/9/20,周至县广济,1082,37.1,150,81,63,8.1,15.6,3,1,1,1,1,0
923,2020/6/7,临潼区零口,613,31.9,426,51,21,3.3,12.7,0,0,1,1,1,0
924,2021/8/20,周至县王家河,845,29.9,644,88,40,3.6,22.2,5,0,1,0,0,0
925,2010/9/24,蓝田县蓝关,2296,34.7,510,90,35,7.1,9.9,2,1,0,0,0,0
926,2013/9/23,临潼区骊山,430,47.7,94,58,40,7.4,10.8,0,1,1,0,0,1
927,2018/8/7,临潼区零口,309,33.3,23,48,23,5.2,8.8,0,1,1,1,1,0
928,2014/8/10,蓝田县汤峪,2394,29.8,227,51,57,5.7,20,3,1,0,1,1,0
929,2013/6/9,高陵区通远,924,18.8,510,30,15,1,30,4,0,0,0,0,0
930,2022/9/7,周至县板房子,1902,33.2,292,80,20,1.3,30.8,4,1,0,0,1,0
931,2010/10/20,鄠邑区甘河,1912,22.9,804,74,54,6.9,15.7,5,1,0,0,1,0
932,2013/7/3,长安区子午峪,1992,49,61,44,53,3.9,27.2,0,1,1,1,1,0
933,2021/8/15,鄠邑区玉蝉,1130,42.9,338,68,34,3.7,18.4,0,1,0,1,1,0
934,2018/9/18,临潼区斜口,982,50,16,59,28,3.9,14.4,1,1,0,1,1,0
935,2023/9/22,长安区引镇,1800,20,210,88,45,9.3,9.7,3,1,1,1,1,0
936,2014/9/17,周至县板房子,2294,31.1,5,71,41,12.4,6.6,0,0,1,1,1,0
937,2013/11/6,雁塔区杜城,333,22.7,129,46,15,3.1,9.7,1,0,0,0,1,0
938,2016/8/10,长安区小峪,1835,20,214,40,50,7.2,13.9,0,1,1,1,1,0
939,2016/9/9,鄠邑区祖庵,977,34,114,40,56,2,56,0,1,1,0,0,0
940,2014/6/14,蓝田县汤峪,1510,28.4,11,95,35,5.1,13.7,0,0,0,0,1,0
941,2012/7/28,鄠邑区蒋村,1913,37.5,306,83,28,9.3,6,5,1,0,1,1,0
942,2017/10/15,蓝田县汤峪,1939,28.6,49,91,28,2.6,21.5,2,1,1,1,1,0
943,2013/9/27,鄠邑区祖庵,2066,41.5,82,40,30,2.9,20.7,3,1,1,0,0,0
944,2016/10/8,临潼区骊山,836,34.3,126,55,39,9.4,8.3,0,1,1,1,1,1
945,2022/8/26,周至县马召,831,22.8,519,95,33,4.5,14.7,0,0,0,0,1,0
946,2011/9/27,蓝田县葛牌,1138,20,261,40,52,2.2,47.3,0,0,0,0,1,0
947,2014/10/28,鄠邑区祖庵,1179,27.6,132,95,38,2.2,34.5,4,1,1,1,1,0
948,2010/7/16,长安区沣峪,1837,31.7,57,95,20,1.8,22.2,0,0,0,0,0,0
949,2014/9/29,临潼区骊山,657,36.7,18,30,69,8.7,15.9,0,0,1,0,0,0
950,2018/10/23,蓝田县玉川,1342,34.5,1054,71,34,4.1,16.6,0,0,1,1,0,0
951,2023/9/2,周至县王家河,2467,43.5,37,80,27,1.2,45,3,0,0,0,1,0
952,2011/5/21,蓝田县蓝关,2329,34.8,255,87,45,2.8,32.1,5,1,1,1,0,0
953,2015/6/11,灞桥区白鹿塬,480,22.9,491,45,27,1,54,1,1,1,1,0,1
954,2017/12/17,长安区子午峪,814,41.5,13,40,28,1.7,32.9,0,1,1,1,0,0
955,2010/7/16,临潼区斜口,426,40.6,27,30,39,6.7,11.6,2,1,0,1,0,0
956,2012/8/17,灞桥区狄寨,454,16.2,1298,30,13,1,26,1,1,0,1,1,0
957,2013/8/28,灞桥区白鹿塬,528,25.2,614,30,31,2.9,21.4,1,1,0,0,0,0
958,2019/7/2,长安区小峪,995,29.3,98,59,52,23.8,5,0,0,1,1,1,0
959,2017/6/4,灞桥区洪庆,369,17.8,83,56,23,3.1,14.8,1,0,1,0,0,1
960,2013/9/16,临潼区零口,896,33.2,492,39,45,3.1,29,1,1,1,1,1,0
961,2011/8/14,临潼区零口,965,37.7,557,51,22,3.8,11.6,0,1,0,1,0,1
962,2012/7/20,长安区引镇,1957,20,113,74,72,14.6,9.9,0,0,1,1,1,0
963,2022/9/1,长安区沣峪,1693,30.4,196,55,34,6,11.3,0,1,0,0,0,0
964,2012/9/17,蓝田县蓝关,2102,43.5,828,40,65,2.6,50,5,1,1,1,1,0
965,2016/6/14,灞桥区白鹿塬,770,19.8,954,30,15,1,30,1,0,0,0,0,0
966,2018/5/17,蓝田县蓝关,2476,29.2,20,66,77,5.1,30.2,5,0,1,0,0,0
967,2021/9/20,周至县板房子,1796,33.5,583,40,20,2.4,16.7,5,1,1,1,0,0
968,2014/5/16,鄠邑区玉蝉,1526,37.7,79,40,47,3.7,25.4,5,1,0,0,0,0
969,2017/1/15,周至县广济,2097,40,24,91,43,3.1,27.7,4,0,1,1,1,0
970,2019/7/14,雁塔区杜城,587,17,418,36,17,1.3,26.2,1,0,1,0,0,0
971,2022/5/31,雁塔区杜城,646,24.6,52,61,10,2.2,9.1,1,0,0,0,1,1
972,2014/8/10,蓝田县玉川,1425,27.1,292,40,50,4.7,21.3,2,0,0,0,1,0
973,2018/8/28,长安区沣峪,871,36.3,154,40,24,6.2,7.7,0,1,1,1,0,0
